sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8703293;-25,5158888;-48,5126111;PR;PNG;TERCEIROS ETH;26;BRFIBRA;127;CTA TF;NAO;;800;694,28;3;1630592;;;;;;11835216;FECHAMENTO NFV FASE 2/FABRICANTE   CONCENTRADOR OLT PRPNG13/ESTACAO ENTREGA CTA TF/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703294;-1,36386111;-48,2773055;PA;BVS;TERCEIROS ETH;26;VTAL - PA;454;BLM QB;NAO;;9913,716982;507,4866623;3;1630593;;;;;;11835217;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA BLM QB/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703295;-23,2636388;-51,1176111;PR;LDA;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;11048,84306;962,4554941;3;1630594;;110858;;;;11835218;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703296;-24,9396944;-50,1325;PR;CBQ;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;10404,47867;710,6936081;3;1630595;;;;;;11835219;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703297;-17,8171944;-52,0263055;GO;JTI;TERCEIROS ETH;26;VTAL - GO;450;GNA RD;NAO;;9913,716982;520,1150715;3;1630596;;;;;;11835220;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA GNA RD/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703298;-29,5993888;-51,17625;RS;IVI;TERCEIROS ETH;26;IG NETWORKS;146;PAE BV;NAO;;1485;1408;3;1630597;;;;;;11835221;FECHAMENTO NFV FASE 2/FABRICANTE   CONCENTRADOR OLT NHO LO/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703299;-21,5605;-49,8681944;SP;PMO;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;1485;2229;3;1630598;;111320;;;;11835222;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703300;-26,872887;-48,732492;SC;IAI;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;10404,47867;634,367131;3;1630599;;;;;;11835223;FECHAMENTO NFV FASE 2/NUVEM IAI GM_IAI GM_03_IAI SITE SCIAI35/ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703301;-27,0681143;-51,660385;SC;CTV;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;10404,47867;359,93828;3;1630600;;;;;;11835225;FECHAMENTO NFV FASE 2/NUVEM SCCDV01 - NUVEM DIRETO CLARO SITE SCCDV01/ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703302;-28,2744473;-49,1647011;SC;BONE;TERCEIROS ETH;26;SOLUCAO NETWORK - SC;1802;FNS PO;NAO;;1100;1482;3;1630601;;;;;;11835226;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703303;-13,0181666;-55,9477777;MT;LRV;TERCEIROS ETH;26;BRFIBRA;127;CBA MC;NAO;;1000;1519,52;3;1630602;;110859;;;;11835227;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CBA MC/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
